"gene_id","organism","sample_id","abundance","date","latitude","longitude"
"vanA","Enterococcus faecalis","S0001",0,2021-07-14,47.7307426892221,-75.9169525583275
"vanA","Enterococcus faecium","S0002",0,2023-11-04,48.8884684508666,-119.339142453391
"vanA","Enterococcus faecalis","S0003",0,2022-12-10,58.8170948778279,-76.0753376164939
"ermB","Streptococcus pneumoniae","S0004",60.6,2023-04-20,41.518153169658,-116.908749397844
"blaCTX-M-15","Klebsiella pneumoniae","S0005",25.2,2021-07-30,34.6399557972327,-98.721221589949
"vanA","Enterococcus faecium","S0006",0,2022-01-08,37.7128005819395,-102.199951530201
"mecA","Staphylococcus aureus","S0007",54.4,2023-06-24,46.115023706574,-110.371504779905
"vanA","Enterococcus faecalis","S0008",3.6,2021-11-05,37.1693807593547,-94.1478608932812
"blaCTX-M-15","Klebsiella pneumoniae","S0009",32.8,2022-08-04,43.9832105827518,-109.908899548464
"tetM","Staphylococcus aureus","S0010",15.6,2023-05-09,53.6163541246206,-90.3928377642296
"blaCTX-M-15","Escherichia coli","S0011",20.1,2021-03-31,49.9320460851304,-105.651114991633
"ermB","Enterococcus faecium","S0012",53.3,2023-02-13,54.4930916847661,-119.342444565846
"blaCTX-M-15","Klebsiella pneumoniae","S0013",14.1,2021-02-03,38.8799691009335,-81.9738134276122
"vanA","Enterococcus faecium","S0014",0,2023-07-17,57.7753928597085,-91.5195759723429
"vanA","Enterococcus faecalis","S0015",0,2022-11-02,37.6996516855434,-94.7893439163454
"vanA","Enterococcus faecalis","S0016",0,2022-04-25,39.7139584128745,-104.678112379042
"mecA","Staphylococcus aureus","S0017",24.1,2021-06-14,57.1762470458634,-87.9850499064196
"mecA","Staphylococcus aureus","S0018",25.1,2021-08-24,54.4433203442022,-71.1097945447545
"ermB","Enterococcus faecium","S0019",38.5,2022-11-17,55.9109622910619,-112.28610198712
"vanA","Enterococcus faecalis","S0020",0,2023-05-28,46.9357089442201,-103.665003358619
"blaCTX-M-15","Escherichia coli","S0021",34.5,2022-09-11,45.5639680526219,-113.010513220215
"mecA","Staphylococcus aureus","S0022",54.2,2023-02-06,53.2486933702603,-112.839338419726
"mecA","Staphylococcus aureus","S0023",20.8,2021-11-22,56.4547468973324,-83.9387597725727
"tetM","Pseudomonas aeruginosa","S0024",9.2,2023-09-12,46.5135348127224,-110.423199769575
"blaCTX-M-15","Escherichia coli","S0025",46,2022-08-12,50.1198260649107,-73.4477250964846
"ermB","Streptococcus pneumoniae","S0026",38.7,2022-11-11,59.0213323472999,-91.9248850713484
"blaCTX-M-15","Klebsiella pneumoniae","S0027",25.8,2021-12-10,41.4942212980241,-115.614512069151
"ermB","Enterococcus faecium","S0028",17,2021-07-14,51.5337860900909,-122.378500491614
"ermB","Enterococcus faecium","S0029",26.7,2021-06-26,57.8902910519391,-109.460941844154
"vanA","Enterococcus faecium","S0030",0,2022-08-20,52.1548014665022,-74.6374053868931
"tetM","Staphylococcus aureus","S0031",4.1,2022-12-11,40.7822782834992,-103.156642568065
"mecA","Staphylococcus aureus","S0032",61.1,2023-10-18,38.4641608409584,-90.1819552097004
"tetM","Pseudomonas aeruginosa","S0033",22.6,2021-02-09,52.894266014453,-110.853078945074
"mecA","Staphylococcus aureus","S0034",15.8,2021-09-22,44.514378706459,-99.0633047302254
"tetM","Staphylococcus aureus","S0035",20.1,2022-04-03,58.7043414628133,-96.595530816121
"mecA","Staphylococcus aureus","S0036",27.1,2021-07-04,34.1638203826733,-121.036858180305
"mecA","Staphylococcus aureus","S0037",71.9,2023-12-14,46.1282817977481,-120.90885176789
"blaCTX-M-15","Klebsiella pneumoniae","S0038",55,2023-03-05,39.8496185592376,-121.812279170845
"mecA","Staphylococcus aureus","S0039",34.1,2022-04-13,51.4273330285214,-108.624201955972
"blaCTX-M-15","Escherichia coli","S0040",33.3,2021-12-23,55.2317530778237,-70.9822794480715
"vanA","Enterococcus faecium","S0041",0,2021-08-06,54.2557129524648,-84.8835141444579
"blaCTX-M-15","Escherichia coli","S0042",8.5,2021-01-26,45.7639182498679,-97.923866919009
"ermB","Streptococcus pneumoniae","S0043",52.6,2022-12-25,55.7284297626466,-111.923782726517
"tetM","Pseudomonas aeruginosa","S0044",3.6,2023-08-18,52.3037935942411,-119.29063214804
"vanA","Enterococcus faecium","S0045",0,2021-08-26,57.7916578026488,-91.052060170332
"mecA","Staphylococcus aureus","S0046",22.7,2021-04-27,52.1317179217003,-89.7195705305785
"blaCTX-M-15","Escherichia coli","S0047",33.9,2022-07-11,47.6767711634748,-112.620965704555
"tetM","Pseudomonas aeruginosa","S0048",11,2022-11-19,37.5500451237895,-71.7891778121702
"ermB","Streptococcus pneumoniae","S0049",57.3,2023-04-01,42.4069698224775,-79.0609574026894
"mecA","Staphylococcus aureus","S0050",17.3,2021-06-26,34.4619111088105,-102.636567354202
"blaCTX-M-15","Escherichia coli","S0051",29.2,2021-06-14,54.1393800941296,-113.511800828855
"tetM","Staphylococcus aureus","S0052",8.8,2022-12-11,53.9990416918881,-95.427754932316
"ermB","Enterococcus faecium","S0053",14,2021-03-05,39.4726640568115,-71.2595552043058
"vanA","Enterococcus faecium","S0054",0,2021-10-18,40.2294603548944,-110.120032018749
"mecA","Staphylococcus aureus","S0055",62.4,2023-03-02,48.9838477768935,-103.250312750461
"blaCTX-M-15","Klebsiella pneumoniae","S0056",29.4,2021-10-24,42.3648639819585,-98.6848988907877
"vanA","Enterococcus faecium","S0057",6.5,2021-06-14,57.1689721238799,-90.55586789269
"ermB","Enterococcus faecium","S0058",26.7,2021-10-04,58.780631558504,-93.9995424100198
"vanA","Enterococcus faecalis","S0059",0,2023-08-04,36.5855914070271,-116.135883051902
"vanA","Enterococcus faecium","S0060",0,2023-04-30,56.5281618433073,-86.0284224548377
"mecA","Staphylococcus aureus","S0061",59.9,2023-07-27,47.6193876429461,-105.760901398025
"ermB","Enterococcus faecium","S0062",61.8,2023-09-16,53.4354243767448,-116.479855081998
"mecA","Staphylococcus aureus","S0063",53.6,2023-01-14,41.3541623903438,-80.4281063599046
"vanA","Enterococcus faecium","S0064",5.1,2022-01-21,45.5577123202384,-90.5069598555565
"vanA","Enterococcus faecalis","S0065",11.8,2021-04-04,51.881309827324,-73.7025406537578
"ermB","Enterococcus faecium","S0066",15.4,2021-06-26,45.9544150233269,-86.4128184865694
"mecA","Staphylococcus aureus","S0067",14.2,2021-07-23,51.8444486171938,-81.7189956037328
"mecA","Staphylococcus aureus","S0068",24.4,2021-11-11,58.5709126903675,-106.227329382673
"blaCTX-M-15","Klebsiella pneumoniae","S0069",57.7,2023-10-13,54.0253237453289,-121.554250090849
"mecA","Staphylococcus aureus","S0070",35.7,2022-02-06,51.6543488083407,-75.322154185269
"blaCTX-M-15","Escherichia coli","S0071",25.5,2021-04-18,45.6229618662037,-80.0937023665756
"tetM","Staphylococcus aureus","S0072",14.3,2021-11-22,47.9240761841647,-109.900005001109
"vanA","Enterococcus faecium","S0073",11.6,2021-07-23,36.1181305604987,-78.0099389434326
"vanA","Enterococcus faecalis","S0074",9.8,2022-03-28,47.7725663776509,-92.7172738767695
"ermB","Streptococcus pneumoniae","S0075",61.1,2023-06-10,50.9979337416589,-103.261043120874
"ermB","Enterococcus faecium","S0076",42,2022-10-27,57.5572509020567,-92.6896248140838
"blaCTX-M-15","Escherichia coli","S0077",33.4,2022-04-08,48.7350861518644,-98.0465100798756
"blaCTX-M-15","Klebsiella pneumoniae","S0078",40.5,2022-11-10,56.7226977339014,-116.676400570432
"tetM","Staphylococcus aureus","S0079",12.3,2022-07-20,47.6913420679048,-121.656977632083
"vanA","Enterococcus faecalis","S0080",2.3,2022-01-13,42.7748699299991,-75.8115956000984
"ermB","Enterococcus faecium","S0081",37.9,2022-04-09,38.5235792356543,-80.9213728969917
"vanA","Enterococcus faecalis","S0082",0,2021-11-07,34.5718365982175,-70.3825370816048
"ermB","Streptococcus pneumoniae","S0083",36.4,2022-11-17,57.4884230024181,-77.3974552273285
"mecA","Staphylococcus aureus","S0084",44.4,2022-12-13,41.1175330146216,-78.2242885604501
"vanA","Enterococcus faecium","S0085",14.4,2021-03-13,52.9704232760705,-119.275675017852
"blaCTX-M-15","Escherichia coli","S0086",27.7,2021-05-14,44.8622046452947,-92.3388828791212
"ermB","Enterococcus faecium","S0087",22.3,2021-02-18,36.2198398904875,-108.471531383693
"ermB","Streptococcus pneumoniae","S0088",45.7,2022-12-10,48.7451061196625,-84.485880965367
"mecA","Staphylococcus aureus","S0089",19.1,2021-07-10,55.984459196683,-80.6460659892764
"mecA","Staphylococcus aureus","S0090",59.1,2023-12-19,58.3267998280935,-116.355769616785
"ermB","Enterococcus faecium","S0091",21.6,2021-04-25,49.2692312286235,-80.6318063719664
"tetM","Staphylococcus aureus","S0092",11.1,2023-09-10,55.6117714508437,-76.2388633505907
"blaCTX-M-15","Klebsiella pneumoniae","S0093",56.8,2023-08-05,40.5993407089263,-122.812064964091
"vanA","Enterococcus faecium","S0094",0,2023-09-17,49.1587954754941,-115.9235759289
"mecA","Staphylococcus aureus","S0095",17.6,2021-03-19,34.6017567967065,-77.5680253177416
"tetM","Pseudomonas aeruginosa","S0096",12.8,2021-04-05,45.1524553704076,-90.3074520791415
"tetM","Staphylococcus aureus","S0097",0.4,2022-09-12,34.095789917279,-70.2784957922995
"ermB","Enterococcus faecium","S0098",41.3,2022-02-11,49.932270873338,-81.3726707722526
"mecA","Staphylococcus aureus","S0099",58.3,2023-11-13,54.9106632606126,-70.6070123845711
"vanA","Enterococcus faecalis","S0100",0,2021-08-25,47.7261540084146,-81.2517888797447
"tetM","Staphylococcus aureus","S0101",3.9,2021-07-28,48.4933771607466,-98.0589621618856
"mecA","Staphylococcus aureus","S0102",25.2,2021-12-24,47.3583096181974,-112.001306104939
"mecA","Staphylococcus aureus","S0103",37.5,2022-01-31,50.9891233309172,-74.6207516826689
"blaCTX-M-15","Klebsiella pneumoniae","S0104",17.3,2021-07-20,42.6202217815444,-102.600189052755
"mecA","Staphylococcus aureus","S0105",33,2022-04-02,51.0144199314527,-80.3554228646681
"tetM","Staphylococcus aureus","S0106",23,2021-05-04,58.2761095333844,-95.1607612450607
"tetM","Staphylococcus aureus","S0107",11.6,2021-04-01,41.2946945438161,-105.119357868098
"blaCTX-M-15","Klebsiella pneumoniae","S0108",56,2023-10-29,59.1846703672782,-98.1327484699432
"vanA","Enterococcus faecium","S0109",0,2023-01-17,52.0727363545448,-105.020613829838
"mecA","Staphylococcus aureus","S0110",52.9,2023-06-21,49.337442218326,-94.1078415128868
"blaCTX-M-15","Klebsiella pneumoniae","S0111",62.1,2023-02-15,53.3233277951367,-120.827857831027
"tetM","Staphylococcus aureus","S0112",0.1,2023-09-24,54.0696465400979,-99.5363633835223
"blaCTX-M-15","Escherichia coli","S0113",42,2022-09-20,51.0877475724556,-109.08563202247
"tetM","Staphylococcus aureus","S0114",23.3,2023-04-16,34.2386785908602,-112.007078523748
"vanA","Enterococcus faecium","S0115",8.4,2022-05-17,52.593471721746,-97.2558103955816
"blaCTX-M-15","Escherichia coli","S0116",64.7,2023-04-09,45.0357544715516,-122.670162667055
"blaCTX-M-15","Escherichia coli","S0117",14.7,2021-03-10,47.1997544420883,-94.8582241870463
"mecA","Staphylococcus aureus","S0118",56.2,2023-02-25,56.3857232970186,-87.9544756666292
"blaCTX-M-15","Klebsiella pneumoniae","S0119",59.5,2023-08-29,37.8634365275502,-84.0061986737419
"blaCTX-M-15","Klebsiella pneumoniae","S0120",34.5,2022-09-10,48.7070129299536,-83.3842426945921
"ermB","Streptococcus pneumoniae","S0121",31.4,2022-08-24,43.9034962034784,-122.201593751088
"ermB","Enterococcus faecium","S0122",56,2023-01-14,49.1726344455965,-88.2421996071935
"ermB","Streptococcus pneumoniae","S0123",34.3,2022-06-07,34.1013049194589,-122.129076127894
"tetM","Staphylococcus aureus","S0124",11.6,2021-01-11,42.3083839667961,-80.5387559591327
"ermB","Streptococcus pneumoniae","S0125",62.2,2023-04-22,51.7966482974589,-105.859172099736
"vanA","Enterococcus faecalis","S0126",0,2023-02-17,54.0361969978549,-92.2000371583272
"mecA","Staphylococcus aureus","S0127",40.6,2022-04-13,44.118428398855,-102.03447720618
"mecA","Staphylococcus aureus","S0128",35.7,2022-08-14,48.5672939741053,-116.426921718521
"vanA","Enterococcus faecalis","S0129",0,2021-08-31,47.2121102022938,-100.272004908184
"tetM","Pseudomonas aeruginosa","S0130",16.4,2023-02-28,54.3311917814426,-122.468539826805
"mecA","Staphylococcus aureus","S0131",24.7,2021-04-15,58.6510897823609,-124.615085005062
"ermB","Streptococcus pneumoniae","S0132",60.8,2023-06-11,57.4567262367345,-83.3468962449115
"vanA","Enterococcus faecalis","S0133",0,2021-09-07,36.2677018479444,-112.69209994236
"blaCTX-M-15","Klebsiella pneumoniae","S0134",26.2,2021-07-14,50.6949593066238,-103.467568656197
"ermB","Streptococcus pneumoniae","S0135",8.4,2021-01-08,56.1891862084158,-78.3743463247083
"blaCTX-M-15","Klebsiella pneumoniae","S0136",20,2021-07-25,46.0145703041926,-106.24860964017
"vanA","Enterococcus faecalis","S0137",0,2023-12-15,41.2598190768622,-99.6330886310898
"blaCTX-M-15","Klebsiella pneumoniae","S0138",36.2,2022-02-02,45.8427129061893,-110.21581026027
"blaCTX-M-15","Klebsiella pneumoniae","S0139",55,2023-02-25,37.3874915591441,-90.8050709485542
"mecA","Staphylococcus aureus","S0140",46.7,2022-11-02,52.7092693513259,-99.8712284455542
"mecA","Staphylococcus aureus","S0141",57.6,2023-05-26,34.340813615825,-77.2875292261597
"tetM","Staphylococcus aureus","S0142",16.8,2023-07-21,48.0246790498495,-94.4577524485067
"tetM","Staphylococcus aureus","S0143",20.7,2022-04-05,52.9158744611777,-115.482632871717
"vanA","Enterococcus faecium","S0144",0,2023-09-25,48.3239909559488,-117.527403200511
"vanA","Enterococcus faecium","S0145",8.5,2022-04-15,56.8290861430578,-80.9737994370516
"blaCTX-M-15","Klebsiella pneumoniae","S0146",56.7,2023-06-12,44.2006126032211,-115.543474219739
"tetM","Pseudomonas aeruginosa","S0147",4.6,2022-09-04,37.0051438831724,-123.386486175004
"mecA","Staphylococcus aureus","S0148",59.6,2023-12-18,37.3648235271685,-84.3688301881775
